corpus,dataset,best,worst,mean,p10,p90,spread,oracle_gain,truefam
tsbad_m,107_SVDB_id_24_Medical_tr_32805_1st_3290,0.05094587678042683,-0.02606565870207323,0.00974514804027065,-0.021253116636679045,0.03679979938931609,0.07701153548250006,0.04120072874015618,local
dami,Annthyroid,0.36110562308633837,-0.0668615454818642,0.031130520440641827,-0.03648080647736032,0.08985056784613968,0.42796716856820255,0.3299751026456965,global
oddbench,GPUResourceUsage,0.47489420596879056,-0.25839785366011725,-0.012062933867721027,-0.22756087885727372,0.3326174631921239,0.7332920596289079,0.48695713983651157,local
ovrbench,KenyaMovement,0.0765968518738129,-0.01422247837420578,0.03224799081416885,0.004287458934064502,0.06272459820240328,0.09081933024801868,0.04434886105964406,local
tsbad_m,137_CreditCard_id_1_Finance_tr_500_1st_5,0.3621641709886089,-0.043917322231471094,0.13131197013772222,-0.02546387046272135,0.3613714439435479,0.40608149322008,0.2308522008508867,global
oddbench,DiamondClarity,0.8756391426828903,-0.19186197933800014,0.10392993218524202,-0.14840163373957316,0.41792782829674746,1.0675011220208905,0.7717092104976483,local
oddbench,HealthBehavior,0.07467878490965432,-0.022658378303558508,0.017260739700322162,-0.014881045977722157,0.049817502360301,0.09733716321321283,0.057418045209332164,global
ovrbench,ShillBidding,0.5895696010247118,-0.08731394349237945,0.15995568259409745,-0.016599267199045503,0.52277719018454,0.6768835445170912,0.42961391843061436,global
oddbench,SalesPerformance,0.43613344823428674,0.029985226057040484,0.24538818460009054,0.10354655275612229,0.3778712932428939,0.4061482221772463,0.1907452636341962,global
tsbad_m,139_CATSv2_id_2_Sensor_tr_5592_1st_5692.,0.35749398748970207,0.022082482929881922,0.1742299245150613,0.03741995239944603,0.35680251102054045,0.33541150455982016,0.18326406297464076,global
oddbench,HumanRobotCollaboration,0.5827374778280336,-0.2260213354722563,0.10156222138886808,-0.11806013540142059,0.30510138887858557,0.80875881330029,0.4811752564391656,local
oddbench,EmailSpamDetection,0.6164668794631604,-0.12956322403114193,0.16959410167633668,-0.04740379130182082,0.5570016837378243,0.7460301034943023,0.44687277778682366,global
oddbench,VoteOutcome,0.784247944412586,-0.017987640806213217,0.21313763012850392,0.007838146577044132,0.6727657755211338,0.8022355852187992,0.5711103142840821,local
tsbad_m,172_SWaT_id_2_Sensor_tr_23700_1st_23800.,0.32895402293163784,0.006713609043339401,0.16174146166340048,0.021776321167264287,0.30862722979345647,0.32224041388829844,0.16721256126823736,local
ovrbench,SyntheticNumericalBatch,0.17465961838934513,-0.06973229205407136,-0.00024514658516252164,-0.06508298398677403,0.06743280956775194,0.2443919104434165,0.17490476497450766,local
tsbad_m,092_SVDB_id_9_Medical_tr_2674_1st_2774.c,0.23556299286725188,-0.010884788311611588,0.08782388323493576,-0.005447631658798293,0.21758139869023785,0.24644778117886346,0.14773910963231612,local
ovrbench,Run_or_walk_information,0.5643634410385657,-0.5661453957331228,-0.04151372374098896,-0.32683345068993597,0.4766696109247145,1.1305088367716887,0.6058771647795547,local
tsbad_m,141_CATSv2_id_4_Sensor_tr_41727_1st_4182,0.49053017792439163,0.02205898275367639,0.25281454832400974,0.05356263289188651,0.4888669455471196,0.4684711951707152,0.2377156296003819,global
ovrbench,FinancialTransaction1,0.03338128572814133,-0.07466022754027662,-0.033007645591909995,-0.0682680528479388,0.008524390701430216,0.10804151326841796,0.06638893132005133,global
oddbench,ArtSalesPlatform,0.20815647400548584,-0.029729908702270012,0.10092173327931933,0.027959709930941254,0.16966359098289097,0.23788638270775586,0.10723474072616651,global
